fffffb4380	0002546d5c
00434ff404	ffe48c0fc6
0005fb0fec	010d8deade
00a10bbb3e	0090d7cb0e
007edf12ce	ff28479ded
00576a4471	00afc03728
ff5259f66f	009520680e
00b734465a	ffc64633a8
ffed138b0a	fff7c6ed15
0011ad2181	ffc7f2115e
0088913084	00170d5a56
0008a21c0c	002fc5aba7
008784f08e	013b46d975
ff2646b5b9	00333b6951
0020513b3b	00345ff3ae
006ed7ce24	00676169f1
ffc9163ef5	ff94c04bea
ff544a78b1	0020b1deea
013eb5b2c5	0017376589
ff50e388cb	ffa7d789c7
0084d1d149	ffd8532d22
ffc8051697	00e3b60071
00a2bde91e	ff2efbc980
ffd11e0950	00ed369669
004b263f99	0012a27088
ffd071b5cf	ff92ec283d
01218f0f3e	00615592ae
ff348bfe91	00d4159ab3
00667edfa9	ff9fe4e051
009c63cf90	00d680e191
0043b7caf5	ffead942d4
00c303701b	ff65a2027b
ffc9515d79	003d83d381
006a95c0a5	ff93f79105
ff4d3d1b2b	ff62061d54
ff2c9afb92	ff969c19b7
00538266ba	011376cde2
0069535f1d	ffb06cd90b
ff5b036866	ffa5f1611f
ffe5686ca5	00bccdcc96
ffc527b43c	ff6738febb
000023ffaa	0037c422dd
00f61782bc	ff6a09090d
00e55e7247	00514ae07d
ffcbc32f38	006202cf2e
014491d47a	feb0c1a1cc
ff2ae038c8	ff6aa8df54
00b92a5e50	ffd9947114
ffe348453c	ff6efa1023
ffe161693f	002d2d0f29
ffacbedd67	002ce67278
006951a5c8	ffb9435f52
00a4d7d7fb	003f4c7314
00a9e444aa	000343780a
009da34828	002380ae68
ff55ae7150	ff6a02392f
00d35bc6b5	001ca2c35c
fef316b825	ff586cfee0
011c99e0a5	ffcdea8e2b
001060eef8	ffa9f190e5
ffcafb10eb	ff59c62d89
ffb54f465c	ff454e6fa6
00511bd3d0	ff30bc1243
003723fc0a	004d1f5ea1
00bda1a799	ffe00f4728
fef1d6ca21	ffd4f71dcd
ffcc22fcd5	ff64760123
00c3a81a1c	00fbd61aa8
ff61cd6eba	ffb08b6bd5
00bee549ed	ffb1e9b3b4
feea15374e	00dacd517b
ff796bb870	ffc6fdcbcb
ff4a0ed6de	ffbc3fd963
00ba3ebdcd	ff352ae68f
00063c4efd	fef11f7dd4
00f2f3bbcf	00b931c112
ff9cee3357	ff8130e66a
0090a1c4e1	ffff1d453b
002866e21f	00c3af333e
ff26e2075c	fff5f1726e
000eeabc2b	003746e3b0
ff9e1fb7b1	ffe0b72e42
008034bedc	ff34f22811
ffb1ae8bb1	001eed86ad
008a57604d	004f44dc51
01295ba655	00d3807fd1
000433ebd7	ff2e1cd9b3
ff41bde471	00eaca78d8
0156a3e545	ffddc862b6
ff1c76987c	0003e0f70b
ffa78d5abd	ffaacb19d6
00efd29ac5	00860f76f6
ffc5fe74f6	009af8999a
000817354e	fff31c9c35
018b95425f	ffdbbb1206
ff37f6d5f0	ffbb14c587
ff7245cfd9	0018fbab5f
ff69d979c7	ffe40a0efa
00dc52374e	feafbc6c7c
00dad847e9	006b0319eb
0049995cc6	00e3419ab0
00146b02f1	ff8581b778
ffc04369bc	ff08d00f54
ffeed5b8b8	0081290b06
ffb932f491	0023c003bf
00cb5c979f	0031809bc3
ffbf0d9f78	008d674a32
0060f0d3f9	ff9987706a
00d96cb2a6	007531e350
0113f84f2d	ff5a65b9c0
ffa4aa5fde	ff8e79ea8c
000d2aa0b5	ffa7663c29
003888135b	009cb94ad7
006bd99ad4	ff88b13984
ffa13df79a	ff993309bd
00c58ac980	004915d826
ffc6fd9c87	0055e686e0
00115144f6	ff824a11a2
00273f5432	ff32129d4e
ff8b7242cd	ffe0e43d21
fff5a4779a	0003918f52
000b15eb5b	ffa2179a57
fff232d678	0013b01b30
ff3609432a	004a6f6c11
008753c18b	ffe57fd777
00095a4e7b	00927a07a8
009e9a5735	fff075f9c6
ff7ace18fc	00512084b4
00f2dfcbdb	0067be2cf6
ff33dd96f4	ff7fd685f9
007e27905e	00d235ddb1
00a56267db	fffb4e6f7a
00b5928b83	000e0cf12b
ff25fcb363	00f26652a2
001df8577a	ff5213af17
00bb797f95	00e4c1792b
00399a51b0	ffd57cfd69
004c319b54	00890ba700
ff2a6b85bb	ffdbac1019
006e575bef	fed2839f0e
ffd8f47f3a	ff9a590a24
ffd7aa8e84	0033bebcae
00e64f6999	0116af0072
00134530b8	00e4192da0
ff1b4df35f	ffbdf4f572
006913df43	00b1bac0c8
ffc9ffc37b	0116ddc7d3
0106f11fec	ff8e7e02cd
01659b538e	ffacdec801
feef9da930	ffec3c094b
ffde0ebef4	0094a7b8b2
00197cf87b	009ad1c4a1
ff73ee86e3	0070b4f9b4
004372a7f1	005870f407
00b93bcb7a	004b44b5fe
ff7cc1a3f3	fec93cbffd
0095f6a2e7	ff723c5edf
0069ab34ba	ffb0ef7ce5
0105c7aea3	00ac1f6a96
ffab9f122a	ffa4e67350
feaa5aa9f3	006f2709f0
0089e43925	0042ce1ad9
0012501f96	ffeb6fce07
0019ddbafd	ff44d8f54b
ffd313ca4e	00229a07b7
006965f528	ff0c54342b
fffd2ce25d	006305eefd
ff92fa9033	009e5c041b
0078eba7ad	00f354c840
ffebb0098d	ff87930cf8
ff918f3d06	ff6e24df64
00262dd5b1	000cf7678d
007af4d14a	ffdb3cf006
0041d3e78f	feec14c693
0063948435	ffa04df1dd
00433eef72	ff105ffd0a
ffc448b976	0037c22500
003940e753	ff4e991233
ffddb4ba88	ffa3415ed8
008081bc42	0092639160
ffd90b511e	ff3e3c022e
0047db43d2	ff0fc4be3b
ff980f5dfe	01635d9d25
0044ebae64	ff33a8f4f3
00463fd6dc	ffa985e324
0063f3f695	fff42b1440
ffd5658113	ff7edc6ca1
fff5f3ad9a	005af8296a
00909face2	ff6bce156c
0035235d26	003b0d54fc
0007bf3342	ffed805ec2
003fc5d012	ff62a25f42
ffdc46e57e	ffb8c850a1
ff5eeff456	ffbe5282b1
004ad9d162	00c6ada82b
ffc8e73762	0012718fca
009dbe1717	ff740982c8
0021dc844a	00963cacfa
005a93f59f	ff40efacf3
fff01b7644	ff438fe7ec
ff8efa979c	ff4d7d7663
ffaf8790b1	ff92430054
0063f5f61f	0088852ea7
0093b58d0d	002194476d
fff923ab0d	007cac917a
0097cc24fb	fffb05b2ed
fff70e8c53	0032c61c1d
fff73f9bc4	ffae37a268
005fdda9e3	ffcb3ed7f3
000f635cbe	00674b4498
00506b5122	ffcf782b41
ffec03ba1d	003ee94784
ffddd0e607	00084aaee7
006126544c	00453b14ce
003da3495c	00851c05de
002b31e30f	ffb828e0e3
0045ff7732	003fdc396c
ff851a0279	ff5d1b016d
0028ae8b7e	001c0e91c6
00270e71c9	ffc0e71afa
00180647ea	00ed45670e
0092457a80	ff9ed0a331
ff69e03df0	0006ea07c5
ff4ca94e2d	006d3b09d3
00123e5f7e	003c2c83a9
ffef59c237	ffc5a8792e
ffe4096611	00454ba8df
001483462f	ff7ae0861d
007516d5f7	00892442d9
ffd8520d5f	004ba74a36
0061870159	0025d65299
002a18ccf8	ff86c44a5c
00083abd66	ffcc1915cd
ffbf023300	00479f44ea
00088a788b	00b33a3258
000ab800f4	ffaafe74d8
0028e39753	0049c246e5
ffef7a0757	ffd68ac90c
ffb5e9497d	004e3981b8
0026da2f16	ff71387ae1
000218f049	007b41037d
fff4915281	ffb7350ef6
002932f7e9	00000cd287
0008d1b898	0034b7294f
ffcc827ea6	0054c9c369
007f2bb158	ff9b7556ad
001e714547	ffe490ccd7
0027f7856c	fffc5ac4a5
ffb55c94b2	0005b2fcbf
ff6e2445b0	ffa0fc72f6
00359af0b8	fff0d859a8
001e770c92	00208d77d6
000bdc7669	007f4d95cd
001bd5d02f	ff1f9b8f3a
ffcf443a78	ffef44cd99
ffe80848ec	00423f2556
0064ab59cf	003cbf963a
0016cf8fc6	ff67444f6f
003bd31578	ffe01ecf97
ffc60028c9	001c39a41f
ffdac2006b	006142083e
000ab0ff05	ffdf9fc368
000819ff15	ffaf60d7b8
ffe8e4c46d	007610236b
ffcd41b501	0043b0c248
0018fefb05	ff9b5f110b
ffcc0a9c90	000c120ce0
00270b57ac	00290ce758
00174b9864	ffc4661bbe
00014ef36a	ff955e3434
00061bcee6	003a68beaa
fffc8c03ee	003ef1758c
000591d2e0	0029cc6c16
fffbc9a122	fff13515c8
ffff6297dc	000d4e10a8
fffdb83b43	0010ac1f71
0002dc8800	0008e7aaa3
ffff990c00	fffbf1985c
ffff2dc400	00004007f4
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
fffffc1dc0	000497fb3f
ffffffceac	0007dae127
0000fd68ad	fffad84193
fffc0c1105	0012cbe0cc
0002718b21	ffe9235d51
0005cd448f	fff63da7b1
fff273d6e9	000e0e1159
0008ca755b	ffe4f8cf56
0012d14c57	002ae25648
ffeb2e5774	fffc6f27b7
0003174f1d	0009ace332
0016c10571	000ba895e7
fffa6faf92	ffeda73caf
fff44391c0	0004cfcac8
0002b60dfc	000a068b10
fffc4e1faf	fff459ed05
fff5fcd85a	0026d0a141
0008bbdce7	fff91d1def
000aea0d4a	000d74622f
ffff7fe334	0048858f57
fff31c9047	ffd8018abe
00134669c9	0008032489
00089159d9	ffd5c40b94
ffd9ee83ed	ffd108915f
0004116e2e	002c2c8a4f
00143da43a	00271c2c79
fffa86b1d5	ffdf504fca
0005c39bd2	001772d390
fff6fd7adc	000eb2c74c
ffd3b084e6	ffbcd23906
000de3e6d2	fffecb93ee
fff8b5ce97	0021355c38
ffc00d5866	ff9436cab6
0013b3f8c9	0076327f86
001728971c	001bc347c5
ffed791cb0	00107c9059
0021b4316e	00406f9caf
0064947719	ff74b0ce93
ffc8e141a6	fffab8a544
000d1c16af	00183293e5
00546cd0e1	00124acaeb
ff9e6a10d5	ffe2d82824
fff3958883	ffba1a75a7
000d082721	0051b125a6
000fca48e7	00390add26
ffd3334a74	ffbf5a83a1
ffd6573857	ffa4ff78fe
fff377d239	ffbfab6227
ffa27943a9	000c302bb5
fffb02661e	00330ffa4b
ffd10b0ceb	0082923d91
fff3153bd5	fffdd7a85f
fff86462eb	0024ed386d
003e5a50af	ffdad8a47e
007b3baa1f	ffb457518f
ffd3b931a8	00603cf8a7
002cad672c	ffdc2d560f
ffc143c9b0	ff8e4dd62c
0053ce0dfc	003e7c841e
0026d93683	003bf582d4
ffe2ae23a1	ffb98fd66d
ffbfae9a02	ffe28d3d7c
ffdd4e82af	0002822f40
003d5979b1	ffce8e0b9f
ff76c8b2f4	ffe15c776f
002799d5f7	ff8ff57115
00769439fc	ffe8923f23
ff78e37b2e	005cfb00e0
0055f14260	00505e1333
fff86dbdbd	ffc04012c0
ffbe31e8d5	003c2c65a6
fff4c66244	0024aeae38
009271b593	ff784457e5
ff8de3007d	fffe7f9b4f
0018c5d30e	004d9ba3b6
00095db01e	002a793d7e
ff97ce8301	0090141a7b
00032d3a49	ff515c9719
ff0aa359cf	001fb5b7bf
000a5e1b00	0060acfedd
003e3f6085	ff8f79fe8d
003b0659fe	ff9c3fb416
ffe9cb79f5	002473a2f7
fff2830edb	00721aa51e
006b3ce4c7	0061e7791c
000d442226	001665aeaa
00014ddc9e	002c93612a
ffc0ac780b	ffbfcec63c
ffe02ff7fb	ff5ea86b1e
fff00dc235	005cfe6a99
000971ef25	ff6cc5efeb
ff8d58434f	00b431c260
ff00556dec	00481900ef
ff8055e709	ff7d9806d2
001b9606c8	007f067609
ffedf8f2ee	00ba6588dd
002cfcf382	002fe31d0e
008464d09a	ff51a896dc
008ab7009a	0091cddd33
ff600a2d7e	0058eeb64d
006b26b040	ff43e6595f
ffbb7b708b	00c39a5c89
0011f303fb	ffc2004072
